Exercise Name,Muscles Impacted,Sets and Reps,Difficulty Level
Plank with Shoulder Taps,"Core, Shoulders",3-4 sets of 10-12 reps,Intermediate
Russian Twists,"Core, Obliques",3-4 sets of 12-15 reps,Intermediate
Superman,"Glutes, back",3-4 sets of 8-10 reps,Intermediate
Bird Dog,"Core, back",3-4 sets of 10-12 reps,Intermediate
Side Plank with Hip Dips,"Core, Obliques",3-4 sets of 10-12 reps,Intermediate
Renegade Rows,"Core, Shoulders, back",3-4 sets of 8-10 reps (each arm),Intermediate
Plank Ups,"Core, Shoulders",3-4 sets of 8-10 reps,Intermediate
Bicycle Crunches,"Core, Obliques",3-4 sets of 12-15 reps,Intermediate
Reverse Plank,"Core, Glutes, Shoulders",3-4 sets of 30-60 seconds,Intermediate
Seated Dumbbell Shoulder Press,Shoulders,3-4 sets of 8-12 reps,Intermediate
Standing Hip Flexor Stretch,Hip Flexors,2-3 sets of 30 seconds each,Easy
Supine Hip Flexor Stretch,Hip Flexors,2-3 sets of 30 seconds each,Easy
Seated Leg Raises,"Hip Flexors, Lower Abdominals",3 sets of 12-15 reps,Easy
Standing Knee Raises,"Hip Flexors, Quadriceps",3 sets of 12-15 reps,Easy
Leg Swings,"Hamstrings, Hip Flexors",2-3 sets of 10 swings,Easy
Mountain Climbers,"Core, Hip Flexors",3-4 sets of 10-15 reps,Intermediate
Lunge with Knee Lift,"Core, Hip Flexors, Quadriceps",3 sets of 10-12 reps,Intermediate
Bicycle Crunches,"Abdominals, Hip Flexors, Obliques",3 sets of 12-15 reps,Intermediate
Hanging Leg Raises,"Abdominals, Hip Flexors, Obliques",3 sets of 10-12 reps,Intermediate
Pigeon Pose,"Glutes, Hip Flexors",Hold for 30-60 seconds,Easy
Push-Ups,"Chest, Core, Shoulders, Triceps",3-4 sets of 10-15 reps,Beginner
Squats,"Core, Glutes, Hamstrings, Quadriceps",3-4 sets of 10-15 reps,Beginner
Lunges,"Core, Glutes, Hamstrings, Quadriceps",3-4 sets of 10-12 reps,Beginner
Plank,"Core, Shoulders, back",3 sets of 30-60 seconds,Beginner
Mountain Climbers,"Core, Legs, Shoulders",3-4 sets of 10-15 reps,Intermediate
Pull-Ups,"Biceps, Shoulders, back",3-4 sets of 6-10 reps,Intermediate
Dips,"Chest, Shoulders, Triceps",3-4 sets of 8-12 reps,Intermediate
